Name Col1,Name Col2,label CMYK_C,label CMYK_M,label CMYK_Y,label CMYK_K,,tint CMYK_C,tint CMYK_M,tint CMYK_Y,tint CMYK_K,RGB_R,RGB_G,RGB_B,HTML
P 95-8 C,P 95-8 CP,68.479437,100,0,49.77493,,67.203784,100,0,51.271838,100,100,100,56654b
P 85-10 C,P 85-10 CP,22.293431,36.676586,9.228656,1.710536,,21.321431,35.764095,11.276417,2.893111,100,100,100,56654b
P 23-5 C,P 23-5 CP,18.498512,30.083162,36.015868,4.55024,,17.482261,28.912795,37.560081,5.973907,100,100,100,56654b
P 33-13 C,P 33-13 CP,28.296331,52.43305,56.224918,31.479362,,26.559854,51.137561,57.021439,33.36843,100,100,100,56654b
P 70-9 C,P 70-9 CP,14.51896,52.008849,27.045089,7.42504,,13.287556,51.123828,28.586251,8.950942,100,100,100,56654b
P 36-12 C,P 36-12 CP,11.081102,49.359885,65.409321,22.189669,,10.016022,48.339054,66.463721,23.576714,100,100,100,56654b
P 124-2 C,P 124-2 CP,14.320593,0,8.471809,0,,14.666972,0,11.287098,0,100,100,100,56654b
P 79-15 C,P 79-15 CP,46.343175,64.911878,45.63058,42.34226,,44.383916,63.566035,46.356907,44.316778,100,100,100,56654b
P 33-15 C,P 33-15 CP,35.167468,56.304264,60.425729,42.029449,,33.345541,54.955369,61.084914,43.869689,100,100,100,56654b
P 101-3 C,P 101-3 CP,39.078355,40.975052,7.472343,3.49279,,37.950712,40.00763,9.417868,4.81117,100,100,100,56654b
P 103-3 C,P 103-3 CP,44.798961,44.121462,3.703365,2.517739,,43.653011,43.169299,5.635157,3.880369,100,100,100,56654b
P 26-5 C,P 26-5 CP,10.786603,42.291906,65.838104,18.463416,,9.898528,41.220722,66.95506,19.76501,100,100,100,56654b
P 174-3 C,P 174-3 CP,32.66041,27.002364,20.135805,2.696269,,31.073472,25.458151,21.506065,4.798963,100,100,100,56654b
P 98-1 C,P 98-1 CP,31.586176,37.618068,6.964218,2.488746,,30.528724,36.717784,9.037919,3.578241,100,100,100,56654b
P 45-8 C,P 45-8 CP,0,87.508965,85.087359,0,,0,86.984056,86.300451,0,100,100,100,56654b
P 100-12 C,P 100-12 CP,42.973983,43.53399,5.992218,3.30663,,41.750211,42.516214,7.777523,4.841688,100,100,100,56654b
P 1-2 C,P 1-2 CP,0,0,10.353246,0,,0,0,13.246357,0,100,100,100,56654b
P 173-14 C,P 173-14 CP,63.460743,50.21897,40.283817,30.88426,,61.640346,48.300907,40.794995,33.533227,100,100,100,56654b
P 66-12 C,P 66-12 CP,16.144045,46.913862,30.327305,7.316701,,14.918746,45.89456,31.839475,8.902113,100,100,100,56654b
P 51-15 C,P 51-15 CP,33.359274,64.0589,59.05394,46.678874,,31.709772,62.957197,59.893185,48.189518,100,100,100,56654b
P 33-16 C,P 33-16 CP,38.274205,59.061569,62.589455,48.609141,,36.443123,57.718778,63.25475,50.310522,100,100,100,56654b
P 129-9 C,P 129-9 CP,14.053559,2.706951,9.3019,0,,14.300755,2.136263,12.05005,0,100,100,100,56654b
P 177-11 C,P 177-11 CP,57.63638,30.012971,56.066227,30.200657,,56.374454,28.076601,56.939042,32.217899,100,100,100,56654b
P 29-9 C,P 29-9 CP,12.79469,31.064317,39.987794,3.997864,,12.193485,30.084687,41.669336,5.041581,100,100,100,56654b
P 46-9 C,P 46-9 CP,2.258335,13.583581,15.149157,0.004578,,2.532998,12.964065,17.82559,0.010681,100,100,100,56654b
P 79-2 C,P 79-2 CP,20.576791,34.019989,21.159686,2.751202,,19.487298,32.922867,22.914474,4.228275,100,100,100,56654b
P 87-16 C,P 87-16 CP,55.710691,61.792934,47.974366,43.84222,,53.493553,60.047305,48.381782,46.24857,100,100,100,56654b
P 179-7 C,P 179-7 CP,34.35874,25.882354,24.109255,3.283742,,32.62684,24.11841,25.278094,5.650416,100,100,100,56654b
P 178-10 C,P 178-10 CP,43.334097,33.511865,50.91325,22.781719,,41.658655,31.580073,51.627374,25.098041,100,100,100,56654b
P 13-5 C,P 13-5 CP,18.710613,27.556267,38.939497,4.71046,,17.894255,26.373693,40.500495,6.010529,100,100,100,56654b
P 53-1 C,P 53-1 CP,2.272068,22.105744,20.756848,0,,2.548257,21.547265,23.337148,0,100,100,100,56654b
P 130-1 C,P 130-1 CP,10.919356,0,8.842603,0,,11.172656,0,11.589227,0,100,100,100,56654b
P 87-4 C,P 87-4 CP,24.469368,38.92729,19.351491,4.377813,,23.010606,37.750819,20.885023,6.111238,100,100,100,56654b
P 33-1 C,P 33-1 CP,10.189975,20.903334,21.121538,0.022889,,10.283055,20.28687,23.60113,0.164797,100,100,100,56654b
P 53-9 C,P 53-9 CP,3.018234,17.312886,16.910048,0.001526,,3.295949,16.81239,19.452201,0.004578,100,100,100,56654b
P 66-4 C,P 66-4 CP,13.276875,45.922026,28.569466,5.406271,,12.281987,45.024797,30.280003,6.729229,100,100,100,56654b
P 173-3 C,P 173-3 CP,31.001756,27.722591,21.789883,2.850385,,29.381245,26.152438,23.105212,5.009537,100,100,100,56654b
P 32-1 C,P 32-1 CP,8.010986,23.291372,28.874648,0.267033,,7.995728,22.548257,31.090257,0.65156,100,100,100,56654b
P 86-5 C,P 86-5 CP,23.559929,38.339818,20.294499,4.275578,,22.211032,37.184709,21.919584,5.944915,100,100,100,56654b
P 45-7 C,P 45-7 CP,0,80.274665,81.522852,0,,0,79.890138,82.880902,0,100,100,100,56654b
P 44-11 C,P 44-11 CP,31.331348,51.80133,57.167923,33.667505,,29.55825,50.452429,57.89578,35.579461,100,100,100,56654b
P 177-10 C,P 177-10 CP,55.687803,28.522164,55.593193,27.747005,,54.444188,26.601052,56.469065,29.755092,100,100,100,56654b
P 78-15 C,P 78-15 CP,35.016403,66.491187,55.09575,46.746013,,33.30892,65.412372,56.041807,48.264286,100,100,100,56654b
P 136-1 C,P 136-1 CP,16.589609,0,17.3785,0,,16.766614,0,19.967955,0,100,100,100,56654b
P 95-11 C,P 95-11 CP,33.595788,40.369269,10.07248,3.64538,,32.372016,39.345387,11.903563,5.032425,100,100,100,56654b
P 171-4 C,P 171-4 CP,27.777523,30.276951,25.166705,3.810178,,26.265353,28.795299,26.533914,5.838102,100,100,100,56654b
P 46-10 C,P 46-10 CP,4.553292,24.731822,26.109713,0.050355,,4.75166,24.098574,28.505379,0.187686,100,100,100,56654b
P 34-2 C,P 34-2 CP,0,24.765393,31.816587,0,,0,24.205387,34.19089,0.004578,100,100,100,56654b
P 129-8 C,P 129-8 CP,100,0,61.722744,45.490196,,100,0,63.511103,45.407796,100,100,100,56654b
P 34-9 C,P 34-9 CP,2.06302,27.626458,34.888229,0.248722,,2.281224,26.898605,37.106889,0.486763,100,100,100,56654b
